"Protein","term","estimate","std.error","statistic","p.value"
"GZMB","CancerTypeIM",-2.04237770388536,55.7036155934214,-0.0366650832648386,0.970759367050822
"GZMB","CancerTypeLGD",-5.31503772161041,50.3890752297234,-0.10547996162619,0.916016123199742
"GZMB","CancerTypeHGD",-5.31976203559706,46.9926043795057,-0.113204239387019,0.90989135614466
"GZMB","CancerTypeIC",284.156033053797,49.9581711300603,5.68787901210453,1.68812408364988e-08
"HLA-DR","(Intercept)",518.88755969015,34.6344662731065,14.9818263575514,6.26458281229047e-46
"HLA-DR","CancerTypeIM",-54.4578425686836,54.0781030772665,-1.00702205642965,0.314167777629707
"HLA-DR","CancerTypeLGD",53.1164595646924,48.9186487306388,1.08581207664112,0.277823816991282
"HLA-DR","CancerTypeHGD",111.684927357897,45.6212918395236,2.44808778652647,0.014532635354928
"HLA-DR","CancerTypeIC",222.134063358729,48.5003190392938,4.58005365240508,5.23439793700924e-06
"Her2","(Intercept)",72.54501708901,15.6876789273627,4.62433081559796,4.25047439597417e-06
"Her2","CancerTypeIM",1.28637221100222,24.4946727744359,0.0525164072550809,0.958127710883264
"Her2","CancerTypeLGD",16.288284412526,22.1576983111358,0.735107238297403,0.462446544349916
"Her2","CancerTypeHGD",28.1566725064943,20.6641607520798,1.362584856182,0.173320163466537
"Her2","CancerTypeIC",90.5967171910091,21.9682159084952,4.12399065852112,4.03282835502374e-05
"ICOS","(Intercept)",29.8593289717006,1.58074720609748,18.8893764015669,2.70011596927209e-68
"ICOS","CancerTypeIM",-2.62166454067581,2.46817172455805,-1.06218887226951,0.288406396278458
"ICOS","CancerTypeLGD",1.112096678737,2.23268973447604,0.498097277720488,0.61852500148436
"ICOS","CancerTypeHGD",-1.41246809158407,2.08219549408453,-0.678355176349608,0.497703462640544
"ICOS","CancerTypeIC",7.60561919585225,2.21359680301272,3.43586473629749,0.000614950315135533
"IDO1","(Intercept)",17.4407257780436,10.7889041588822,1.61654284079307,0.10629239544843
"IDO1","CancerTypeIM",3.88024773323145,16.845747429572,0.230339897321495,0.817874771502374
"IDO1","CancerTypeLGD",8.97741585296688,15.2385374896539,0.589125817294607,0.555909933336362
"IDO1","CancerTypeHGD",13.1648378315402,14.2113853113772,0.926358517702058,0.354483201831263
"IDO1","CancerTypeIC",89.639975646421,15.1082245548119,5.93319058246796,4.09075864092426e-09
"Ki-67","(Intercept)",158.044245644461,7.67323865585045,20.5968109077333,7.48085633538033e-79
"Ki-67","CancerTypeIM",-5.20301004058452,11.9809610373513,-0.434273179285355,0.664183760743217
"Ki-67","CancerTypeLGD",8.95284863050356,10.8378880006988,0.826069491576801,0.4089617110303
"Ki-67","CancerTypeHGD",50.7024451672904,10.1073611850254,5.01638798091127,6.22801391422561e-07
"Ki-67","CancerTypeIC",65.6229897012362,10.7452073878894,6.10718689107835,1.44976099268439e-09
"LAG3","(Intercept)",15.6223766572922,1.06636063964913,14.6501812580334,3.58594126266813e-44
"LAG3","CancerTypeIM",1.6235273332092,1.66501080552997,0.975085163301647,0.329753829027442
"LAG3","CancerTypeLGD",0.558261345588634,1.50615635707605,0.370652982318786,0.710974512773431
"LAG3","CancerTypeHGD",-1.28705667171774,1.40463403027491,-0.916293243632891,0.359734022628741
"LAG3","CancerTypeIC",2.5141182811461,1.49327640351391,1.68362553324354,0.0925661628302553
"MART1","(Intercept)",23.3190973042783,1.13454821523638,20.5536415210172,1.39831165633925e-78
"MART1","CancerTypeIM",-0.456478650492099,1.77147858569205,-0.257682285396507,0.796705134991615
"MART1","CancerTypeLGD",0.129230639211476,1.60246631697678,0.0806448396714403,0.935740541754958
"MART1","CancerTypeHGD",-4.36118447276884,1.49445222643724,-2.91824950682155,0.00359885040971029
"MART1","CancerTypeIC",-4.47851539355987,1.58876276511739,-2.81886980982271,0.00491440686831733
"NY-ESO-1","(Intercept)",58.5930038666832,2.50517548977194,23.3887821854816,7.52830223309045e-97
"NY-ESO-1","CancerTypeIM",-2.3034514956428,3.91156997466783,-0.588881577105983,0.556073710171301
